item_code,item_name,total_qty,trx_frequency,avg_qty_per_trx,std_qty,recency,label,class_id,Qty_Velocity,Trx_Velocity,Recency_Ratio,Qty_Velocity_zscore,Trx_Velocity_zscore,Avg_Qty_Per_Trx_zscore,Std_Qty_zscore,Recency_Ratio_zscore,pred_knn,pred_rf,pred_svm,pred_lr,pred_xgb,pred_consensus
103700353,MEPROTHION 250 TABLET,138,81,1.7037037037037037,1.7567330790735145,12,Medium Moving,1,0.12614259597806216,0.0740402193784278,0.010968921389396709,-0.4813,-0.3058,-0.6796,-0.5536,-0.4141,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700354,MEPROTHION 500 TABLET,486,262,1.8549618320610688,5.190799608273304,2,Medium Moving,1,0.44424131627056673,0.23948811700182815,0.0018281535648994515,-0.2973,0.4501,-0.6575,-0.078,-0.4577,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700356,ELOMEP KRIM 10 G,733,64,11.453125,9.346809467525388,5,Medium Moving,1,0.670018281535649,0.05850091407678245,0.004570383912248629,-0.1667,-0.3768,0.7466,0.4976,-0.4446,Fast Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700357,METOCLOPRAMIDE HCL LIQUID INJECTION,66,21,3.142857142857143,8.02050942450487,32,Slow Moving,2,0.0603290676416819,0.019195612431444242,0.029250457038391225,-0.5194,-0.5564,-0.4691,0.3139,-0.3268,Slow Moving,Slow Moving,Medium Moving,Medium Moving,Slow Moving,Slow Moving
103700364,PARACETAMOL SIRUP,2907,110,26.427272727272726,36.971464099104324,0,Fast Moving,0,2.6572212065813527,0.10054844606946983,0.0,0.9828,-0.1847,2.9371,4.3233,-0.4664,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving
103700367,DIPHENHYDRAMINE HYDROCHORIDE INJECTION,71,39,1.8205128205128205,0.9966204702259603,8,Medium Moving,1,0.06489945155393052,0.0356489945155393,0.007312614259597806,-0.5167,-0.4812,-0.6625,-0.6589,-0.4315,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700374,ASTEROL SIRUP,5138,253,20.308300395256918,20.93413258342737,0,Fast Moving,0,4.696526508226691,0.2312614259597806,0.0,2.1625,0.4125,2.042,2.1023,-0.4664,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving
103700378,LIDOCAINE HYDROCHLORIDE INJECTION,68,45,1.511111111111111,0.8426749136535455,0,Medium Moving,1,0.062157221206581355,0.04113345521023766,0.0,-0.5183,-0.4562,-0.7078,-0.6802,-0.4664,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving,Medium Moving
103700379,ZINC SULFATE MONOHYDRATE DROPS,918,71,12.929577464788732,9.92878059504931,47,Fast Moving,0,0.8391224862888482,0.06489945155393052,0.04296160877513711,-0.0689,-0.3476,0.9626,0.5782,-0.2614,Fast Moving,Fast Moving,Fast Moving,Medium Moving,Fast Moving,Fast Moving
103700383,DICLOFENAC POTASSIUM TABLET SALUT SELAPUT,5,1,5.0,0.0,671,Slow Moving,2,0.004570383912248629,0.0009140767824497258,0.613345521023766,-0.5516,-0.6399,-0.1974,-0.7969,2.461,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving
103700402,MEPROSON SERBUK INJEKSI,17,4,4.25,3.947573094109004,279,Slow Moving,2,0.015539305301645339,0.003656307129798903,0.25502742230347347,-0.5453,-0.6274,-0.3071,-0.2502,0.7508,Medium Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving
103700403,KOLSIN TABLET,23,15,1.5333333333333334,0.6399404734221844,13,Slow Moving,2,0.02102376599634369,0.013711151736745886,0.011882998171846435,-0.5421,-0.5815,-0.7046,-0.7083,-0.4097,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving
103700412,KETOROLAC TROMETAMOL INJEKSI,11130,519,21.44508670520231,27.091372095727216,0,Fast Moving,0,10.173674588665447,0.4744058500914077,0.0,5.3308,1.5234,2.2083,2.955,-0.4664,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving,Fast Moving
103700413,DOPAMINE HYDROCHLORIDE INJECTION,2,2,1.0,0.0,334,Slow Moving,2,0.0018281535648994515,0.0018281535648994515,0.3053016453382084,-0.5532,-0.6358,-0.7826,-0.7969,0.9907,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving,Slow Moving
